States,value,shareAccsidents2012,accidentsLakh2012
Andhra Pradesh,42524,8.67,49.74
Arunachal Pradesh,251,0.05,20
Assam,6535,1.33,21.12
Bihar,10320,2.1,10.42
Chhattisgarh,13511,2.76,54.96
Goa,4312,0.88,237.31
Gujarat,27949,5.7,46.74
Haryana,10065,2.05,38.93
Himachal Pradesh,2899,0.59,42.28
Jammu and Kashmir,6709,1.37,56.54
Jharkhand,5711,1.16,17.9
Karnataka,44448,9.06,74.05
Kerala,36174,7.38,103.94
Madhya Pradesh,51210,10.44,69.82
Maharashtra,66316,13.52,58.08
Manipur,0771,0.16,31.11
Meghalaya,483,0.1,18.22
Mizoram,110,0.02,10.83
Nagaland,42,0.01,1.85
Odisha,09285,1.89,22.59
Punjab,6341,1.29,22.66
Rajasthan,22969,4.68,33.34
Sikkim,158,0.03,25.53
Tamil Nadu,67757,13.82,99.85
Tripura,0888,0.18,24.28
Uttarakhand,1472,0.3,14.6
Uttar Pradesh,29972,6.11,14.67
West Bengal,12290,2.51,13.61
Andaman and Nicobar Islands,236,0.05,46.55
Chandigarh,419,0.09,27.79
Dadra and Nagar Haveli,085,0.02,22.97
Daman and Diu,50,0.01,17.79
Delhi,06937,1.41,36.54
Lakshadweep,3,0,3.9
Puducherry,1181,0.24,81.39
