States,value
Andaman and Nicobar,1
Andhra Pradesh,21
Arunachal Pradesh,1
Assam,056
Bihar,12
Chandigarh,052
Chhattisgarh,08
Delhi,365
Goa,08
Gujarat,050
Haryana,090
Himachal Pradesh,039
Jammu And Kashmir,059
Jharkhand,07
Karnataka,260
Kerala,076
Madhya Pradesh,22
Maharashtra,218
Manipur,22
Meghalaya,14
Mizoram,2
Nagaland,04
Orissa,077
Pondicherry,14
Punjab,064
Rajasthan,21
Sikkim,1
Tamilnadu,287
Telangana,174
Tripura,1
Uttar Pradesh,174
Uttarakhand,043
West Bengal,152
